Pixel;Row;Correction Value Signed;Correction Value Unsigned
1537;1;15;15
1536;3;15;15
1535;0;15;15
1534;2;15;15
1533;1;15;15
1532;3;15;15
1531;0;15;15
1530;2;15;15
1529;1;15;15
1528;3;15;15
1527;0;15;15
1526;2;15;15
1525;1;15;15
1524;3;15;15
1523;0;15;15
1522;2;15;15
1521;1;15;15
1520;3;15;15
1519;0;15;15
1518;2;15;15
1517;1;15;15
1516;3;15;15
1515;0;15;15
1514;2;15;15
1513;1;15;15
1512;3;15;15
1511;0;15;15
1510;2;15;15
1509;1;15;15
1508;3;15;15
1507;0;15;15
1506;2;15;15
1505;1;15;15
1504;3;15;15
1503;0;15;15
1502;2;15;15
1501;1;15;15
1500;3;15;15
1499;0;15;15
1498;2;15;15
1497;1;15;15
1496;3;15;15
1495;0;15;15
1494;2;15;15
1493;1;15;15
1492;3;15;15
1491;0;15;15
1490;2;15;15
1489;1;15;15
1488;3;15;15
1487;0;15;15
1486;2;15;15
1485;1;15;15
1484;3;15;15
1483;0;15;15
1482;2;15;15
1481;1;15;15
1480;3;15;15
1479;0;15;15
1478;2;15;15
1477;1;15;15
1476;3;15;15
1475;0;15;15
1474;2;15;15
1473;1;15;15
1472;3;15;15
1471;0;15;15
1470;2;15;15
1469;1;15;15
1468;3;14;14
1467;0;16;16
1466;2;15;15
1465;1;15;15
1464;3;14;14
1463;0;16;16
1462;2;15;15
1461;1;15;15
1460;3;14;14
1459;0;16;16
1458;2;15;15
1457;1;15;15
1456;3;14;14
1455;0;16;16
1454;2;15;15
1453;1;15;15
1452;3;14;14
1451;0;16;16
1450;2;15;15
1449;1;15;15
1448;3;14;14
1447;0;16;16
1446;2;15;15
1445;1;15;15
1444;3;14;14
1443;0;16;16
1442;2;15;15
1441;1;15;15
1440;3;14;14
1439;0;16;16
1438;2;15;15
1437;1;15;15
1436;3;14;14
1435;0;16;16
1434;2;15;15
1433;1;15;15
1432;3;14;14
1431;0;16;16
1430;2;15;15
1429;1;15;15
1428;3;14;14
1427;0;16;16
1426;2;15;15
1425;1;15;15
1424;3;14;14
1423;0;16;16
1422;2;15;15
1421;1;15;15
1420;3;14;14
1419;0;16;16
1418;2;15;15
1417;1;15;15
1416;3;14;14
1415;0;16;16
1414;2;15;15
1413;1;15;15
1412;3;14;14
1411;0;16;16
1410;2;15;15
1409;1;15;15
1408;3;14;14
1407;0;16;16
1406;2;15;15
1405;1;15;15
1404;3;14;14
1403;0;16;16
1402;2;15;15
1401;1;15;15
1400;3;14;14
1399;0;16;16
1398;2;15;15
1397;1;15;15
1396;3;14;14
1395;0;16;16
1394;2;15;15
1393;1;15;15
1392;3;14;14
1391;0;16;16
1390;2;15;15
1389;1;15;15
1388;3;14;14
1387;0;16;16
1386;2;15;15
1385;1;15;15
1384;3;14;14
1383;0;16;16
1382;2;15;15
1381;1;15;15
1380;3;14;14
1379;0;16;16
1378;2;15;15
1377;1;15;15
1376;3;14;14
1375;0;16;16
1374;2;15;15
1373;1;15;15
1372;3;14;14
1371;0;16;16
1370;2;15;15
1369;1;16;16
1368;3;14;14
1367;0;16;16
1366;2;14;14
1365;1;16;16
1364;3;14;14
1363;0;16;16
1362;2;14;14
1361;1;16;16
1360;3;14;14
1359;0;16;16
1358;2;14;14
1357;1;16;16
1356;3;14;14
1355;0;16;16
1354;2;14;14
1353;1;16;16
1352;3;14;14
1351;0;16;16
1350;2;14;14
1349;1;16;16
1348;3;14;14
1347;0;16;16
1346;2;14;14
1345;1;16;16
1344;3;14;14
1343;0;16;16
1342;2;14;14
1341;1;16;16
1340;3;14;14
1339;0;16;16
1338;2;14;14
1337;1;16;16
1336;3;13;13
1335;0;17;17
1334;2;14;14
1333;1;16;16
1332;3;13;13
1331;0;17;17
1330;2;14;14
1329;1;16;16
1328;3;13;13
1327;0;17;17
1326;2;14;14
1325;1;16;16
1324;3;13;13
1323;0;17;17
1322;2;14;14
1321;1;16;16
1320;3;13;13
1319;0;17;17
1318;2;14;14
1317;1;16;16
1316;3;13;13
1315;0;17;17
1314;2;14;14
1313;1;16;16
1312;3;13;13
1311;0;17;17
1310;2;14;14
1309;1;16;16
1308;3;13;13
1307;0;17;17
1306;2;14;14
1305;1;16;16
1304;3;13;13
1303;0;17;17
1302;2;14;14
1301;1;16;16
1300;3;13;13
1299;0;17;17
1298;2;14;14
1297;1;16;16
1296;3;13;13
1295;0;17;17
1294;2;14;14
1293;1;16;16
1292;3;13;13
1291;0;17;17
1290;2;14;14
1289;1;16;16
1288;3;13;13
1287;0;17;17
1286;2;14;14
1285;1;16;16
1284;3;13;13
1283;0;17;17
1282;2;14;14
1281;1;16;16
1280;3;13;13
1279;0;17;17
1278;2;14;14
1277;1;16;16
1276;3;13;13
1275;0;17;17
1274;2;14;14
1273;1;16;16
1272;3;13;13
1271;0;17;17
1270;2;14;14
1269;1;16;16
1268;3;13;13
1267;0;17;17
1266;2;14;14
1265;1;16;16
1264;3;13;13
1263;0;17;17
1262;2;14;14
1261;1;16;16
1260;3;13;13
1259;0;17;17
1258;2;14;14
1257;1;16;16
1256;3;13;13
1255;0;17;17
1254;2;14;14
1253;1;16;16
1252;3;13;13
1251;0;17;17
1250;2;14;14
1249;1;16;16
1248;3;13;13
1247;0;17;17
1246;2;14;14
1245;1;16;16
1244;3;13;13
1243;0;17;17
1242;2;14;14
1241;1;16;16
1240;3;13;13
1239;0;17;17
1238;2;14;14
1237;1;16;16
1236;3;13;13
1235;0;17;17
1234;2;14;14
1233;1;16;16
1232;3;13;13
1231;0;17;17
1230;2;14;14
1229;1;16;16
1228;3;13;13
1227;0;17;17
1226;2;14;14
1225;1;16;16
1224;3;13;13
1223;0;17;17
1222;2;14;14
1221;1;16;16
