Pixel;Row;Correction Value Signed;Correction Value Unsigned
3008;1;9;9
3007;3;9;9
3006;0;9;9
3005;2;9;9
3004;1;9;9
3003;3;9;9
3002;0;9;9
3001;2;9;9
3000;1;9;9
2999;3;9;9
2998;0;9;9
2997;2;9;9
2996;1;9;9
2995;3;9;9
2994;0;9;9
2993;2;9;9
2992;1;9;9
2991;3;9;9
2990;0;9;9
2989;2;9;9
2988;1;9;9
2987;3;9;9
2986;0;9;9
2985;2;9;9
2984;1;9;9
2983;3;9;9
2982;0;9;9
2981;2;9;9
2980;1;9;9
2979;3;9;9
2978;0;9;9
2977;2;9;9
2976;1;9;9
2975;3;9;9
2974;0;9;9
2973;2;9;9
2972;1;9;9
2971;3;9;9
2970;0;9;9
2969;2;9;9
2968;1;9;9
2967;3;9;9
2966;0;9;9
2965;2;9;9
2964;1;9;9
2963;3;9;9
2962;0;9;9
2961;2;9;9
2960;1;9;9
2959;3;9;9
2958;0;9;9
2957;2;9;9
2956;1;9;9
2955;3;9;9
2954;0;9;9
2953;2;9;9
2952;1;9;9
2951;3;9;9
2950;0;9;9
2949;2;9;9
2948;1;9;9
2947;3;9;9
2946;0;9;9
2945;2;9;9
2944;1;9;9
2943;3;9;9
2942;0;9;9
2941;2;9;9
2940;1;9;9
2939;3;9;9
2938;0;9;9
2937;2;9;9
2936;1;9;9
2935;3;9;9
2934;0;9;9
2933;2;9;9
2932;1;9;9
2931;3;9;9
2930;0;9;9
2929;2;9;9
2928;1;9;9
2927;3;9;9
2926;0;9;9
2925;2;9;9
2924;1;9;9
2923;3;9;9
2922;0;9;9
2921;2;9;9
2920;1;9;9
2919;3;9;9
2918;0;9;9
2917;2;9;9
2916;1;9;9
2915;3;9;9
2914;0;9;9
2913;2;9;9
2912;1;9;9
2911;3;9;9
2910;0;9;9
2909;2;9;9
2908;1;9;9
2907;3;9;9
2906;0;9;9
2905;2;9;9
2904;1;9;9
2903;3;9;9
2902;0;9;9
2901;2;9;9
2900;1;9;9
2899;3;9;9
2898;0;9;9
2897;2;9;9
2896;1;9;9
2895;3;9;9
2894;0;9;9
2893;2;9;9
2892;1;9;9
2891;3;9;9
2890;0;9;9
2889;2;9;9
2888;1;9;9
2887;3;9;9
2886;0;9;9
2885;2;9;9
2884;1;9;9
2883;3;9;9
2882;0;9;9
2881;2;9;9
2880;1;9;9
2879;3;9;9
2878;0;9;9
2877;2;9;9
2876;1;9;9
2875;3;9;9
2874;0;9;9
2873;2;9;9
2872;1;9;9
2871;3;9;9
2870;0;9;9
2869;2;9;9
2868;1;9;9
2867;3;9;9
2866;0;9;9
2865;2;9;9
2864;1;9;9
2863;3;9;9
2862;0;9;9
2861;2;9;9
2860;1;9;9
2859;3;9;9
2858;0;9;9
2857;2;9;9
2856;1;9;9
2855;3;9;9
2854;0;9;9
2853;2;9;9
2852;1;9;9
2851;3;9;9
2850;0;9;9
2849;2;9;9
2848;1;9;9
2847;3;9;9
2846;0;9;9
2845;2;9;9
2844;1;9;9
2843;3;9;9
2842;0;9;9
2841;2;9;9
2840;1;9;9
2839;3;9;9
2838;0;9;9
2837;2;9;9
2836;1;9;9
2835;3;9;9
2834;0;9;9
2833;2;9;9
2832;1;9;9
2831;3;9;9
2830;0;9;9
2829;2;9;9
2828;1;9;9
2827;3;9;9
2826;0;9;9
2825;2;9;9
2824;1;9;9
2823;3;9;9
2822;0;9;9
2821;2;9;9
2820;1;9;9
2819;3;9;9
2818;0;9;9
2817;2;9;9
2816;1;9;9
2815;3;9;9
2814;0;9;9
2813;2;9;9
2812;1;9;9
2811;3;9;9
2810;0;9;9
2809;2;9;9
2808;1;9;9
2807;3;9;9
2806;0;9;9
2805;2;9;9
2804;1;9;9
2803;3;9;9
2802;0;9;9
2801;2;9;9
2800;1;9;9
2799;3;9;9
2798;0;10;10
2797;2;9;9
2796;1;9;9
2795;3;8;8
2794;0;10;10
2793;2;9;9
2792;1;9;9
2791;3;8;8
2790;0;10;10
2789;2;9;9
2788;1;9;9
2787;3;8;8
2786;0;10;10
2785;2;9;9
2784;1;9;9
2783;3;8;8
2782;0;10;10
2781;2;9;9
2780;1;9;9
2779;3;8;8
2778;0;10;10
2777;2;9;9
2776;1;9;9
2775;3;8;8
2774;0;10;10
2773;2;9;9
2772;1;9;9
2771;3;8;8
2770;0;10;10
2769;2;9;9
2768;1;9;9
2767;3;8;8
2766;0;10;10
2765;2;9;9
2764;1;9;9
2763;3;8;8
2762;0;10;10
2761;2;9;9
2760;1;9;9
2759;3;8;8
2758;0;10;10
2757;2;9;9
2756;1;9;9
2755;3;8;8
2754;0;10;10
2753;2;9;9
2752;1;9;9
2751;3;8;8
2750;0;10;10
2749;2;9;9
2748;1;9;9
2747;3;8;8
2746;0;10;10
2745;2;9;9
2744;1;9;9
2743;3;8;8
2742;0;10;10
2741;2;9;9
2740;1;9;9
2739;3;8;8
2738;0;10;10
2737;2;9;9
2736;1;9;9
2735;3;8;8
2734;0;10;10
2733;2;9;9
2732;1;9;9
2731;3;8;8
2730;0;10;10
2729;2;9;9
2728;1;9;9
2727;3;8;8
2726;0;10;10
2725;2;9;9
2724;1;9;9
2723;3;8;8
2722;0;10;10
2721;2;9;9
2720;1;9;9
2719;3;8;8
2718;0;10;10
2717;2;9;9
2716;1;9;9
2715;3;8;8
2714;0;10;10
2713;2;9;9
2712;1;9;9
2711;3;8;8
2710;0;10;10
2709;2;9;9
2708;1;9;9
2707;3;8;8
2706;0;10;10
2705;2;9;9
2704;1;9;9
2703;3;8;8
2702;0;10;10
2701;2;9;9
2700;1;9;9
2699;3;8;8
2698;0;10;10
2697;2;9;9
2696;1;9;9
2695;3;8;8
2694;0;10;10
2693;2;9;9
2692;1;9;9
2691;3;8;8
2690;0;10;10
2689;2;9;9
2688;1;9;9
2687;3;8;8
2686;0;10;10
2685;2;9;9
2684;1;9;9
2683;3;8;8
2682;0;10;10
2681;2;9;9
2680;1;9;9
2679;3;8;8
2678;0;10;10
2677;2;9;9
2676;1;9;9
2675;3;8;8
2674;0;10;10
2673;2;9;9
2672;1;9;9
2671;3;8;8
2670;0;10;10
2669;2;9;9
2668;1;9;9
2667;3;8;8
2666;0;10;10
2665;2;9;9
2664;1;9;9
2663;3;8;8
2662;0;10;10
2661;2;9;9
2660;1;9;9
2659;3;8;8
2658;0;10;10
2657;2;9;9
2656;1;9;9
2655;3;8;8
2654;0;10;10
2653;2;9;9
2652;1;9;9
2651;3;8;8
2650;0;10;10
2649;2;9;9
2648;1;9;9
2647;3;8;8
2646;0;10;10
2645;2;9;9
2644;1;9;9
2643;3;8;8
2642;0;10;10
2641;2;9;9
2640;1;9;9
2639;3;8;8
2638;0;10;10
2637;2;9;9
2636;1;9;9
2635;3;8;8
2634;0;10;10
2633;2;9;9
2632;1;9;9
2631;3;8;8
2630;0;10;10
2629;2;9;9
2628;1;9;9
2627;3;8;8
2626;0;10;10
2625;2;9;9
2624;1;9;9
2623;3;8;8
2622;0;10;10
2621;2;9;9
2620;1;9;9
2619;3;8;8
2618;0;10;10
2617;2;9;9
2616;1;9;9
2615;3;8;8
2614;0;10;10
